"No","Sirket","AboneNo","IsletmeKodu","AboneAdi","AboneAdresi","BagAnlasma","Carpan","SayacSeriNo","Seyt","DirekSayisi","ArmaturSayisi","ArmaturGucu","24SaatlikCalisma","DenetlenenAbone"
"839","YESILIRMAK","04100104186","55.0.0.0.0","BAFRA SOK.AYDINLATMA","/***DEDEDAG YOLU 1","Var","1","52707568","4,852","58","59","5680","0","1"
"840","YESILIRMAK","04100104221","52.0.0.0.0","MESUDIYE BELEDIYESI","","Var","1","52705153","7,76","187","76","9340","0","0"
"841","YESILIRMAK","04100104842","52.0.0.0.0","MESUDIYE BELEDIYESI","","Var","1","52699895","8,08","255","162","9290","0","0"
"842","YESILIRMAK","04100104972","57.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52705563","2,686","66","26","3158","0","1"
"843","YESILIRMAK","04100105043","55.0.0.0.0","ATAKUM BELEDIYESI ","/***M.SINAN MH.195.SK.","Var","1","52716318","7,2","60","60","7200","0","0"
"844","YESILIRMAK","04100104887","55.0.0.0.0","ATAKUM BELEDIYESI ","/***K.KOLPINAR MAH. 648.SOK","Var","1","52715510","2","16","16","2000","0","0"
"845","YESILIRMAK","04100104891","55.0.0.0.0","","/***DIKBIYIK BELD.SOK.AYD.","Var","1","52707585","9,1","73","65","8500","0","0"
"846","YESILIRMAK","04100105116","57.0.0.0.0","KAHRAMANELI SOKAK AYDINLATMA","","Var","1","52694660","8,244","236","70","9875","0","0"
"847","YESILIRMAK","04100105140","57.0.0.0.0","","","Var","1","52666173","1,6564179288","142","17","850","0","0"
"848","YESILIRMAK","04100105141","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52699634","3,5","99","32","3930","0","0"
"849","YESILIRMAK","04100105142","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52703374","11,128","173","96","14970","0","1"
"850","YESILIRMAK","04100105153","55.0.0.0.0","","","Var","1","52704279","4,272","46","25","3125","0","0"
"851","YESILIRMAK","04100105154","19.0.0.0.0","","BAGLARBASI MAH.CAMI YANI YEKBAS","Var","1","52694132","10,568","120","67","6478","0","0"
"852","YESILIRMAK","04100105203","52.0.0.0.0","","/***TR-117///SAHINCILI MAH.DOGRUYOL CAMI KARSISI","Var","1","52703288","6,7","65","65","7980","0","0"
"853","YESILIRMAK","04100105226","19.0.0.0.0","","IKIKISE YALINKISE SOKAK AYDINLATMASI","Var","1","52699796","2,022","61","19","1925","0","1"
"854","YESILIRMAK","04100105227","57.0.0.0.0","SOKAK AYDINLATMA","SOFULAR MERKEZ","Var","1","52707052","3,361","45","31","1550","0","1"
"855","YESILIRMAK","04100105345","57.0.0.0.0","DAVUTLU SOKAK AYDINLATMASI","","Var","1","52666410","2,594","208","23","1150","0","0"
"856","YESILIRMAK","04100105386","52.0.0.0.0","KUMRU BELEDIYESI","","Var","1","52715082","0,695","37","10","750","0","1"
"857","YESILIRMAK","04100105418","55.0.0.0.0","TERMEBELD GENEL AYD","/***FISKOBIRLIK CD LS TR.16.1","Var","1","52710166","4,119","16","19","2105","0","1"
"858","YESILIRMAK","04100105433","55.0.0.0.0","ATAKUM BELEDIYESI ","","Var","1","52716059","11,24","49","49","12250","0","0"
"859","YESILIRMAK","04100105454","57.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52704217","1,966","41","23","1150","0","1"
"860","YESILIRMAK","04100105315","52.0.0.0.0","FATSA BELEDIYESI","/***RESADIYE CAD.FISKOBIRLIK TR.13 KAFES DIREK","Var","1","1152219","2,59","71","23","2910","0","0"
"861","YESILIRMAK","04100105612","52.0.0.0.0","","/***TR-2 YENI CAMII YANI","Var","1","52715006","7,76","161","78","9580","0","0"
"862","YESILIRMAK","04100105623","5.0.0.0.0","","","Var","1","52670607","3,5742","34","34","3574","0","0"
"863","YESILIRMAK","04100105676","55.0.0.0.0","ATAKUM BELEDIYESI","***DM:31-48 5056.SOK","Var","1","52715724","2,16","22","22","2200","0","0"
"864","YESILIRMAK","04100105690","52.0.0.0.0","AYBASTI BELEDIYESI","","Var","1","52703600","5,34","140","51","6200","0","0"
"865","YESILIRMAK","04100105701","55.0.0.0.0","","","Var","1","52694540","11,3","74","74","9200","0","0"
"866","YESILIRMAK","04100105782","52.0.0.0.0","MESUDIYE BELEDIYESI","","Var","1","52703778","6,62","126","75","6840","0","0"
"867","YESILIRMAK","04100105794","55.0.0.0.0","","/***YILANLI PINAR MAH. TR.12","Var","1","52704821","2,1","54","13","1625","0","0"
"868","YESILIRMAK","04100105800","52.0.0.0.0","","","Var","1","52717122","21,559","232","87","21750","0","0"
"869","YESILIRMAK","04100105812","57.0.0.0.0","","","Var","1","52666062","5,444","158","74","3700","0","0"
"870","YESILIRMAK","04100106094","55.0.0.0.0","","","Var","1","52705723","4,485","37","33","4125","0","1"
"871","YESILIRMAK","04100106115","52.0.0.0.0","","","Var","1","52696615","4,068","76","27","4150","0","1"
"872","YESILIRMAK","04100106141","57.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52704305","4,123","77","47","2350","0","1"
"873","YESILIRMAK","04100106154","19.0.0.0.0","","","Var","1","52702717","2,992","19","19","2020","0","0"
"874","YESILIRMAK","04100106167","55.0.0.0.0","ILKADIM BELEDIYESI ","","Var","1","52731905","6,903","40","40","5000","0","0"
"875","YESILIRMAK","04100106213","5.0.0.0.0","AMASYA BELEDIYESI","","Var","1","52694581","7","49","49","7000","0","0"
"876","YESILIRMAK","04100106249","5.0.0.0.0","KIZILEGREK  SOKAK AYDINLAT","KIZILEGREK","Var","1","52666583","2,73","24","24","3000","0","1"
"877","YESILIRMAK","04100106275","57.0.0.0.0","SOKAK AYDINLATMASI","","Var","1","52671127","2,113","52","18","2250","0","1"
"878","YESILIRMAK","04100106279","55.0.0.0.0","CANIK BELEDIYESI","","Var","1","52715655","13,996","112","112","13996","0","0"
"879","YESILIRMAK","04100106310","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52704751","9,41","213","84","10450","0","0"
"880","YESILIRMAK","04100106326","5.0.0.0.0","","KARAALI SOKAK AYDINLATMA","Var","1","52665164","1,94649","18","18","1946,49","0","0"
"881","YESILIRMAK","04100106338","52.0.0.0.0","","","Var","1","52705985","12,17","162","114","14140","0","0"
"882","YESILIRMAK","04100106343","57.0.0.0.0","SOKAK AYDINLATMA","","Var","1","52666532","3,312","56","38","1900","0","1"
"883","YESILIRMAK","04100106402","52.0.0.0.0","","","Var","1","52696954","12,46","140","56","14000","0","0"
"884","YESILIRMAK","04100106410","52.0.0.0.0","ULUBEY BELEDIYESI","","Var","1","52694442","6,05","133","68","6200","0","0"
"885","YESILIRMAK","04100106411","5.0.0.0.0","","","Var","1","52662466","5","45","45","5000","0","0"
"886","YESILIRMAK","04100106458","55.0.0.0.0","","","Var","1","52705591","4,54","57","28","4500","0","0"
"887","YESILIRMAK","04100106460","55.0.0.0.0","","","Var","1","52666676","2,926","65","20","2000","0","0"
"888","YESILIRMAK","04100106503","55.0.0.0.0","","/***","Var","1","52696536","1,551","6","6","522","0","0"
"889","YESILIRMAK","04100106516","52.0.0.0.0","","","Var","1","52707114","1,85","70","20","2150","0","1"
"890","YESILIRMAK","04100106547","52.0.0.0.0","","/***SANAYI KARSISI","Var","1","52715955","9,52","234","78","9780","0","0"
"891","YESILIRMAK","04100106551","52.0.0.0.0","PERSEMBE BELEDIYESI","/***TR-228 KUTLUCA MERKEZ 100 KVATR PERSEMBE","Var","1","52666317","7,97","161","73","9060","0","0"
"892","YESILIRMAK","04100106689","57.0.0.0.0","","","Var","1","52666500","3,608","89","28","1250","0","0"
"893","YESILIRMAK","04100106710","55.0.0.0.0","","","Var","1","52698502","10,154","75","75","9500","0","0"
"894","YESILIRMAK","04100106734","55.0.0.0.0","CANIK BELEDIYESI ","","Var","1","52696745","4,355","28","24","2500","0","0"
"895","YESILIRMAK","04100106745","55.0.0.0.0","KARINCAK MERKEZ -1","","Var","1","52706639","4,11","48","49","3980","0","0"
"896","YESILIRMAK","04100106757","55.0.0.0.0","YESILOVA--YENI TRF. -- 2. TRF.","YESILOVA--YENI TRF. -- 2. TRF.","Var","1","52706166","5,574","109","61","7625","0","1"
"897","YESILIRMAK","04100106815","57.0.0.0.0","REYGEN MAH.SOKAK AYDINLATMASI ","REYGEN MAH.","Var","1","52694811","5,99","155","35","4375","0","0"
"898","YESILIRMAK","04100106867","55.0.0.0.0","","","Var","1","52705466","4,8","37","24","2780","0","0"
"899","YESILIRMAK","04100106926","55.0.0.0.0","MUTAFLI KY.MRK.MAH.","/***TR NO:12  GNL.AYD.","Var","1","52707578","4","40","40","4000","0","0"
"900","YESILIRMAK","04100106937","55.0.0.0.0","YESILALAN.G.AYDINLATMASI","","Var","1","52666359","6,3","62","50","6000","0","0"
"901","YESILIRMAK","04100107012","19.0.0.0.0","","","Var","1","52664321","2,305","53","31","2076","0","1"
"902","YESILIRMAK","04100107026","52.0.0.0.0","FATSA BELEDIYESI","","Var","1","52703146","4,177","201","140","11670","0","1"
"903","YESILIRMAK","04100107038","19.0.0.0.0","","","Var","1","52704515","2,3","30","21","2150","0","0"
"904","YESILIRMAK","04100107079","55.0.0.0.0","","/***BAHCELIEVLER MAH","Var","1","52665671","12,491","64","64","12570","0","1"
"905","YESILIRMAK","04100107118","55.0.0.0.0","","/***MERKEZ MH.","Var","1","52706989","2,28","25","25","2069","0","0"
"906","YESILIRMAK","04100107147","5.0.0.0.0","","","Var","1","52694151","1","4","4","1000","0","0"
"907","YESILIRMAK","04100107156","55.0.0.0.0","DEMIRYURT.G.AYDINLATMASI","","Var","1","52666546","8,739","95","56","6550","0","1"
"908","YESILIRMAK","04100107162","52.0.0.0.0","ULUBEY BELEDIYESI","","Var","1","52694189","5,1","154","44","5430","0","0"
"909","YESILIRMAK","04100107173","19.0.0.0.0","","","Var","1","52698719","4,116","43","42","4116","0","0"
"910","YESILIRMAK","04100107191","52.0.0.0.0","","/***MKP.MAH.BELEDIYE ALTI TR-24B 800 KVA","Var","1","52704701","1,768","96","25","3140","0","1"
"911","YESILIRMAK","04100107201","52.0.0.0.0","","","Var","1","52699775","7,26","160","65","7980","0","0"
"912","YESILIRMAK","04100107217","52.0.0.0.0","","/***YOKUSDIBI TURNALIK OSMANALAN ...KVA TR","Var","1","52699820","0,223","22","5","250","0","0"
"913","YESILIRMAK","04100107221","55.0.0.0.0","TERME BELD GENEL AYD","/***YALI LIMAN BASI TR.17.1.1","Var","1","52706320","21,179","62","47","5620","0","0"
"914","YESILIRMAK","04100107273","55.0.0.0.0","TR 12/2","HAMAM SOK.SUBE ARKASI","Var","1","52710058","3,377","21","42","3360","0","0"
"915","YESILIRMAK","04100107356","19.0.0.0.0","","","Var","1","52698898","4,2388","42","29","1600","0","0"
"916","YESILIRMAK","04100107445","52.0.0.0.0","","","Var","1","52703655","1,978","23","18","2000","0","0"
"917","YESILIRMAK","04100107458","5.0.0.0.0","AMASYA BELEDIYESI","YENI SANAYI KAVSAK SINYALISAZYON","Var","1","52710240","0,3","12","12","300","1","0"
"918","YESILIRMAK","04100107497","19.0.0.0.0","","","Var","1","52671274","7,293","94","50","6812,5","0","0"
"919","YESILIRMAK","04100107501","52.0.0.0.0","","","Var","1","52696048","4,636","98","56","4750","0","0"
